timestep,reward
3511730,0.0
3516079,-0.32
3521123,-0.04
3525679,0.18
3530218,-0.04
3534505,0.12
3539261,0.16
3543847,0.06
3548522,-0.02
3553000,-0.08
3557987,0.04
3562982,0.06
3567276,0.1
3571602,-0.06
3575946,-0.14
3580645,0.06
3585037,-0.02
3589483,-0.24
3594196,-0.12
3598428,0.0
3602983,0.02
3607453,0.06
3612074,0.04
3617183,-0.32
3621825,-0.24
3626783,-0.04
3631591,0.0
3636176,-0.2
3640786,-0.04
3645745,-0.02
3650515,0.1
3654947,0.1
3659632,-0.08
3664432,-0.12
3668824,-0.16
3673575,-0.04
3677817,0.12
3682553,0.2
3686849,-0.02
3691209,-0.12
3695752,-0.08
3700018,0.0
3704169,-0.14
3708548,0.04
3712948,-0.02
3717700,-0.26
3722564,-0.04
3727151,-0.04
3731691,-0.04
3736287,0.0
3740883,0.04
3745453,0.16
3749866,0.04
3753795,-0.04
3758779,0.08
3763649,-0.02
3768060,-0.06
3772839,-0.08
3777556,0.18
3782391,-0.04
3786758,0.2
3791231,-0.02
3795677,0.04
3800194,0.02
3804686,-0.06
3809258,-0.06
3814005,0.18
3818475,-0.14
3822981,-0.18
3827220,-0.18
3831510,-0.02
3835930,-0.1
3840726,-0.1
3845342,-0.14
3849634,-0.14
3854041,-0.02
3858494,-0.12
3863031,-0.12
3867871,0.06
3872444,-0.04
3877081,-0.1
3881853,-0.06
3886688,-0.06
3891312,-0.02
3895877,-0.08
3899905,0.08
3904076,-0.1
3908758,0.2
3913506,0.14
3918018,-0.1
3922494,0.1
3926642,-0.16
3931127,-0.04
3935431,-0.1
3939982,0.06
3944638,0.02
3948940,0.02
3953338,0.04
3958343,0.04
3962517,-0.22
3966987,0.12
3971753,-0.22
3976676,-0.1
3981005,-0.2
3985387,0.02
3989716,0.14
3993814,-0.02
3998638,0.1
4003219,0.08
4007591,-0.08
4011528,-0.24
4016693,0.02
4021260,-0.08
4025862,0.02
4030307,0.1
4035059,0.0
4039526,0.0
4043784,0.0
4048643,-0.12
4053354,0.2
4058574,-0.24
4063180,-0.18
4067599,0.06
4071979,0.1
4076191,-0.1
4080539,0.2
4085014,-0.1
4089806,-0.18
4094384,0.1
4099168,-0.02
4104026,-0.02
4108705,-0.12
4113583,-0.02
4118046,-0.24
4122347,-0.16
4126726,-0.14
4131290,0.16
4136157,-0.08
4140375,-0.12
4144823,-0.06
4149770,0.2
4153981,0.06
4158827,-0.02
4163391,-0.06
4168193,0.2
4172468,-0.06
4176912,0.02
4181488,-0.04
4186404,0.02
4191378,-0.08
4195885,-0.1
4200578,0.28
4205351,-0.08
4209486,-0.08
4213921,-0.04
4217965,0.08
4222935,-0.12
4227510,-0.04
4231862,0.06
4236188,0.0
4240666,0.04
4245221,-0.16
4249518,-0.06
4253555,0.08
4257688,0.0
4262224,-0.18
4266824,0.1
4271382,0.0
4276397,0.16
4280554,0.02
4284864,-0.08
4289712,0.02
4294507,-0.1
4299664,0.22
4303977,-0.06
4308601,0.06
4312844,-0.16
4317692,0.04
4322000,0.16
4326358,-0.02
4331089,0.02
4335293,-0.08
4340087,0.12
4344836,0.06
4349070,0.1
4353455,-0.06
4358135,-0.02
4362941,0.04
4367240,0.1
4372126,0.04
4376641,-0.02
4380529,-0.04
4385428,0.12
4390007,-0.1
4394173,0.08
4398616,0.2
4402800,0.08
4407272,-0.2
4411899,0.1
4417212,-0.1
4422062,-0.18
4426561,0.06
4431226,-0.12
4435472,-0.02
4440275,0.06
4444476,0.18
4449489,-0.12
4454242,0.04
4459153,-0.16
4463818,0.0
4468055,-0.1
4472705,-0.08
4477857,0.04
4482312,0.12
4486613,-0.02
4490957,0.06
4495535,0.0
4500019,-0.06
4504652,0.04
4509678,0.14
4514164,-0.06
4518768,-0.12
4523222,-0.1
4527604,0.24
4531758,-0.02
4535875,0.12
4540532,0.02
4544617,-0.08
4549318,-0.06
4553836,-0.06
